artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Baby Bash;Suga Suga;239026;2003;82.331;hip hop, pop, R&B, latin;0.748;5;-3.041
James Blunt;Goodbye My Lover;258653;2005;89.567;pop;0.261;4;-12.591
Enrique Iglesias;I Like It;231373;2010;129.007;pop, latin;0.942;10;-2.881
T.I.;Dead And Gone;299746;2008;135.021;hip hop, pop;0.746;0;-4.99
Jessica Simpson;Irresistible;194026;2001;93.013;pop, R&B;0.965;8;-2.771
Outkast;The Way You Move (feat. Sleepy Brown);234000;2003;125.999;hip hop, pop;0.597;5;-4.932
Cherish;Do It To It;226293;2006;74.007;hip hop, pop, R&B;0.67;2;-5.559
Anne-Marie;2002;186986;2018;96.133;pop, Dance/Electronic;0.683;1;-2.881
The White Stripes;Seven Nation Army;231920;2003;123.904;rock, blues;0.469;4;-7.627
Taylor Swift;Back To December;293026;2010;141.893;pop;0.67;2;-4.663
Jason Aldean;Dirt Road Anthem;229413;2010;127.037;country;0.739;2;-5.068
Example;Changed the Way You Kiss Me - Radio Edit;195466;2011;126.979;pop, Dance/Electronic;0.857;4;-3.78
Rihanna;Hard;250600;2009;182.032;hip hop, pop, R&B;0.746;1;-3.599
Fetty Wap;My Way (feat. Monty);213053;2015;128.077;hip hop, pop;0.741;6;-3.103
Shakira;La Tortura (feat. Alejandro Sanz);212893;2005;100.011;pop, latin;0.783;0;-5.367
Gwen Stefani;Rich Girl;236213;2004;98.018;pop, R&B;0.754;7;-2.728
Avicii;I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit;208316;2012;127.946;pop, Dance/Electronic;0.79;6;-3.782
Ne-Yo;Sexy Love;220853;2006;94.02;pop, R&B;0.516;8;-6.446
G-Eazy;Him & I;268866;2017;87.908;hip hop, pop;0.731;2;-6.343
Gabrielle;Rise;219093;2001;144.673;pop, R&B;0.481;8;-9.487
LMFAO;Sexy And I Know It;199480;2011;130.021;hip hop, pop, Dance/Electronic;0.861;7;-4.225
Blazin' Squad;Crossroads - Radio Edit;188693;2012;144.188;set();0.746;4;-5.153
Tame Impala;The Less I Know The Better;216320;2015;116.879;metal;0.74;4;-4.083
